Date,Subject_0,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19
1798,7.2554,4.939,7.0218,10.859,7.3368,7.2666,5.808,6.399,7.723,8.1185,7.4763,10.1905,4.6243,8.1681,4.566,8.5745,7.0659,5.605,6.7417,5.8114
1799,4.6842,6.0455,6.5307,6.1261,8.6095,6.8573,3.5638,8.0187,8.5939,9.2037,7.7889,7.1349,9.0158,7.8625,6.7854,7.8556,5.8459,7.4989,4.9109,7.0599
1800,7.8606,8.667,10.0717,9.6813,8.1415,4.7835,8.4425,8.2071,7.6334,8.3947,6.241,9.4313,8.1732,5.8411,7.8817,9.0541,8.0141,7.6895,9.5415,8.1141
1801,7.5424,8.3108,6.1712,8.0484,11.4298,7.9062,7.2799,6.5985,10.0775,7.3275,8.1479,11.3636,7.6791,9.1407,8.9956,7.2532,6.5573,11.3427,10.2758,8.0532
1802,11.6221,6.4886,11.0356,11.2265,13.2231,10.0593,8.7919,9.4519,11.363,7.6807,10.816,9.8205,8.8215,7.6036,9.6625,11.9734,11.17,12.2403,6.5321,10.9129
1803,8.3177,8.4032,9.3567,6.1252,11.6563,7.6542,8.2288,7.6273,8.3518,11.038,8.7803,9.8434,13.8541,11.1462,10.0485,6.5507,10.4713,10.7662,8.9539,6.0975
1804,14.06,9.373,7.3382,9.4621,11.5699,10.7149,8.4318,10.7137,6.1544,9.5548,10.5857,8.078,11.8043,8.8449,9.151,7.0951,8.9783,9.359,9.6293,7.4159
1805,11.0813,8.0091,8.3671,8.1166,9.239,8.4186,12.4652,6.4486,9.9656,7.3969,9.057,11.0794,7.7783,4.7338,9.9243,11.3153,8.8747,7.826,7.8924,9.4581
1806,10.4154,11.3315,9.6181,10.1822,8.1597,7.5908,7.1917,11.215,7.2446,10.7449,14.8441,11.6653,8.8405,10.7761,12.961,8.6505,12.4143,6.5451,7.6321,12.104
1807,9.0868,13.0901,10.6743,7.1221,7.8558,8.7095,12.0491,12.2223,8.076,12.6918,11.2457,11.9252,11.3128,8.2821,7.9645,12.8374,8.5188,11.2196,11.9854,9.6873
1808,13.6518,11.9065,8.8344,8.9669,9.1043,12.7282,7.6855,11.9636,9.0693,9.1553,7.4969,11.3461,12.9407,11.3415,8.8002,6.1124,9.3355,10.9884,7.2801,10.511
1809,11.4281,10.8174,14.481,9.8051,11.6152,7.0181,7.6465,8.8594,8.277,6.5838,8.2345,9.3628,7.1107,11.73,9.3571,11.4895,9.5098,8.7899,9.4864,9.7176
1810,9.44,8.9803,9.4043,11.9889,7.1368,9.9238,13.906,6.5666,10.5746,13.9941,10.2722,15.2008,9.6973,11.3537,9.6476,8.4714,11.6498,10.8586,7.0501,10.5654
1811,10.1229,10.8969,7.8175,10.2156,8.7456,12.8337,12.9791,9.1495,12.1848,8.4536,9.4933,11.4721,12.9709,9.9953,9.5962,6.8123,11.8539,10.7536,10.0865,9.3163
1812,10.2631,9.5409,9.6254,11.2641,11.6547,10.1951,14.0197,12.3704,11.7787,6.3717,11.686,7.3426,9.3558,10.6157,15.689,11.4038,9.2525,12.9962,10.5321,13.5943
1813,11.6121,11.2167,15.483,14.1981,10.427,11.675,7.3365,7.4547,12.3278,12.1086,11.3264,17.0382,13.6959,11.6953,9.3715,10.0448,10.9816,9.131,8.3655,13.5724
1814,11.5766,12.8192,10.4323,12.8093,14.8302,11.3546,9.0662,10.4739,13.7292,13.8456,9.4049,12.1221,13.8112,12.5706,12.3483,8.7076,11.787,8.2471,14.8078,12.2361
1815,7.3541,13.2618,13.8391,5.2762,13.788,12.7261,14.0826,12.9692,11.0343,11.0545,8.0659,9.2711,14.1441,11.0706,10.27,11.3003,9.3868,17.2026,10.6757,13.8826
1816,15.4193,7.3372,17.2075,10.1072,14.2163,10.1196,10.3205,11.4526,14.3112,14.7533,13.7624,9.3296,13.006,11.849,14.2096,16.8654,10.1437,18.1018,13.2199,11.0835
1817,10.1605,16.6492,9.0727,14.4148,14.7607,12.9605,18.7051,10.2518,13.3913,14.3776,12.0409,15.1686,13.9142,15.2277,10.4257,13.7526,11.8373,10.4518,14.3145,5.3805
1818,11.5682,17.686,10.3579,16.8005,15.9071,14.2575,13.2397,19.2541,12.722,15.472,12.99,18.0015,7.8133,11.9107,10.8544,15.1799,11.8787,18.3067,17.3692,12.8067
1819,15.111,17.0693,13.9584,15.1454,15.3977,16.6787,11.5003,11.9465,16.4338,16.0312,12.8168,14.6596,14.3119,13.4868,14.3363,14.5961,11.1213,17.115,11.6007,10.9199
1820,13.0284,14.0975,15.3501,16.0511,14.3267,12.7818,6.0406,14.0508,11.7887,11.0901,9.6734,12.1367,14.6994,14.2973,10.7657,11.635,15.6591,12.5441,13.5218,17.3886
1821,14.3487,16.0471,9.6094,10.8837,15.0827,10.9066,12.1312,16.505,12.5601,17.655,14.3813,20.39,14.3622,9.5417,10.1019,15.7797,12.9569,15.8109,13.4408,16.4496
1822,19.8278,14.7753,12.8798,14.7581,14.0318,17.5726,16.1085,14.0472,16.2336,15.8801,13.9282,15.2968,16.8649,17.3623,15.483,12.0037,17.5224,12.0295,15.9007,13.7976
1823,17.9983,14.6611,9.3172,15.62,19.8392,12.8145,14.1332,14.809,18.6575,12.847,13.2624,11.2698,13.0862,14.2463,11.6306,17.9376,17.9426,17.6429,20.1262,17.0071
1824,11.9402,18.7048,13.7348,14.388,16.4785,17.0618,21.3787,15.9945,22.0366,18.6107,18.8422,16.5511,13.8601,21.7744,15.8179,23.0795,16.67,14.7222,10.6215,9.2636
1825,15.1116,18.9817,15.1803,16.3745,20.4465,17.3255,24.316,16.546,22.5952,16.3986,17.8609,16.3387,13.2821,18.811,14.3589,14.2287,14.2722,20.5847,19.4929,11.8866
1826,17.7907,17.6516,17.03,14.7051,15.8991,24.1606,14.0579,15.8743,17.1165,15.1003,14.4448,15.9838,16.2286,13.9755,13.561,14.9099,15.9398,22.5942,23.0404,14.0239
1827,18.4917,18.9631,14.1629,14.809,17.5382,16.6968,17.1538,16.5348,22.6895,18.5798,16.8808,17.4319,19.0593,18.2579,15.7453,14.5924,14.3637,18.168,20.0929,17.3196
1828,22.5342,16.1958,19.8701,13.3743,14.9391,17.9027,20.2799,25.0511,19.6786,20.6518,23.0425,15.7614,17.8105,18.7091,20.6043,22.3384,16.4767,19.2313,23.1638,17.3937
1829,16.4592,23.5721,15.1012,17.2582,13.9164,12.708,14.2001,21.8926,12.4617,22.1695,17.5733,12.7119,15.1694,13.9055,16.1384,13.2314,19.0041,11.4249,13.1823,17.8628
1830,24.3083,20.4023,24.3773,25.2052,24.6609,25.6256,30.3997,26.7338,20.9623,20.5476,26.2654,23.9482,17.8337,25.3148,25.091,25.4126,23.8769,23.9865,28.8727,27.823
1831,24.0588,21.4939,27.4654,31.9126,18.7985,24.7561,15.9223,21.4641,25.7172,30.4249,16.1431,21.6001,21.2622,27.6038,21.5922,17.3737,28.0167,19.2079,22.7514,21.7517
1832,17.4725,30.8748,24.6393,22.9628,22.0633,28.4112,26.6375,20.099,20.1507,24.1426,22.8255,23.9252,20.1849,26.0958,18.9956,21.9616,25.6417,26.9321,22.3243,27.4761
1833,26.3002,25.8729,18.6567,17.133,23.6802,30.5342,17.3315,29.3298,22.7791,22.7433,29.3177,21.2366,23.8621,14.9046,17.4846,15.792,28.3679,22.3318,32.4107,20.246
1834,21.0031,23.0691,26.7189,30.7358,23.152,17.8203,24.1833,24.1594,25.3298,21.1368,29.1855,26.3034,33.061,24.9342,21.6964,26.2254,18.2896,26.7404,22.8323,18.4204
1835,20.3412,25.9549,23.2525,31.3434,23.5311,26.8653,33.6513,34.4475,24.1102,26.8841,28.994,31.425,31.7751,24.0248,31.2502,29.9046,30.7273,24.4502,20.6079,11.9976
1836,25.2842,24.6612,34.8787,28.3761,26.713,26.4512,23.1118,34.7519,38.528,40.0486,16.91,27.1461,30.5535,29.493,19.5147,31.5664,33.4296,27.7109,31.0377,30.4605
1837,23.1461,21.6862,28.549,23.0864,23.1491,27.3614,22.405,23.5569,32.5371,30.7008,22.9331,29.185,22.5505,36.6445,19.483,33.2036,31.0234,29.4302,28.4547,35.4757
1838,18.3645,29.3113,33.3779,31.828,34.3924,35.8658,36.4243,24.7797,37.1705,29.3856,25.7471,29.6149,28.7949,29.0161,40.9793,35.8105,26.8084,32.0841,34.0443,25.623
1839,20.8491,39.8238,27.7019,30.8435,26.0495,21.4304,28.3227,38.3089,31.358,33.8145,31.9844,27.5137,24.7499,39.4273,35.6972,25.6017,33.2948,33.3716,31.9677,31.0226
1840,21.0014,26.1058,23.491,33.8076,21.8888,35.8507,23.2318,36.206,38.3098,31.4753,19.9373,31.629,26.9782,28.4054,31.6756,32.9263,27.4233,41.4783,28.6883,50.38
1841,28.2134,44.3064,43.14,36.9418,31.5062,37.3648,34.0797,41.4968,37.3844,28.2585,31.9139,36.1886,32.2797,42.4792,28.5217,32.8092,22.8626,42.3779,28.6501,30.424
1842,40.5618,27.6188,23.5519,41.1961,34.4426,36.9013,41.0863,49.8138,45.2419,34.5491,25.2804,27.256,38.5934,37.7194,42.5323,35.4745,38.171,31.7263,31.572,33.0082
1843,34.5796,23.5544,42.0383,37.0232,31.6269,26.4508,32.5668,32.9004,39.5744,55.7564,42.5064,31.7374,25.5356,31.4023,33.2858,30.1254,43.3183,50.3626,26.7701,46.4123
1844,34.5929,37.7092,46.6665,43.1662,24.5251,41.0461,37.0652,45.8032,45.3954,42.0852,25.2004,32.1509,42.8687,37.0654,49.8512,48.3674,36.5958,40.1627,40.3539,36.9977
1845,48.6502,43.6637,36.273,45.9085,35.124,42.1106,52.603,41.3954,20.8853,36.0079,42.4317,40.4209,38.0239,62.0616,52.2362,41.7714,35.4938,47.6385,27.8373,38.2772
1846,51.4547,45.4887,59.7051,53.2488,29.7598,45.0601,49.3218,50.9836,46.671,37.3888,35.282,37.6284,57.948,46.1075,49.3992,48.8804,34.339,33.5891,35.5511,48.6079
1847,41.6918,55.5461,47.2016,35.1717,59.9776,46.841,53.829,47.8636,47.7102,58.2765,47.3095,31.7755,64.1211,46.432,53.7079,43.6803,65.0102,44.7752,49.8092,68.9189
1848,54.8713,39.7073,46.6213,53.1288,36.2981,40.9164,29.3356,57.0301,51.2176,41.2192,55.185,43.1063,52.3223,44.2988,48.3976,40.0269,39.5624,40.0254,51.7684,53.4029
1849,44.7446,45.7909,45.3387,56.2195,39.5955,44.8456,50.6835,60.0096,55.6439,46.5582,45.0307,64.156,52.7481,64.9721,39.2515,71.3158,52.3976,58.0654,60.0268,47.249
1850,42.4939,45.0854,58.8996,63.4732,40.9832,49.783,45.0557,46.1844,43.4106,59.9542,63.3601,57.304,39.6411,46.5352,80.0715,56.2375,56.327,71.4999,57.8166,54.2991
1851,67.58,52.0402,49.8187,48.4829,67.19,61.5752,60.3937,52.1336,64.188,52.0075,66.1463,43.7917,55.5911,58.1161,46.6699,56.2212,64.3364,58.6032,65.5357,50.7157
1852,72.6814,54.3546,47.236,69.7218,73.8335,64.0294,66.2525,61.7664,31.3269,73.9912,59.8849,51.6688,64.327,48.1953,40.5137,71.3351,41.9481,60.4097,48.7318,59.4015
1853,42.0531,38.0638,63.8117,68.8272,43.5803,53.4694,79.1105,46.247,67.9449,59.8626,71.0522,55.2688,56.7894,50.3026,63.3494,48.0487,70.8899,55.9892,67.3151,41.3059
1854,67.326,82.0239,88.0456,64.9204,65.7944,76.43,62.2935,64.5271,75.9764,103.6197,83.6648,70.2564,59.1132,55.2955,77.3065,48.251,73.3577,46.1236,78.8812,90.2198
1855,68.2481,81.0807,62.1745,79.2182,89.7272,63.4646,77.931,95.3362,57.3341,69.9086,70.7746,78.6432,63.933,92.3261,99.2959,60.4443,64.383,69.2224,86.4405,83.3419
1856,79.2387,92.0167,52.6258,81.2902,83.2312,92.5568,111.4899,47.6247,84.3768,90.2173,68.2013,80.6058,67.972,70.1034,94.4859,77.4132,82.4086,54.3319,84.9381,41.669
1857,59.2859,81.4125,90.7951,54.2058,46.3195,88.3356,123.7922,79.4425,66.5491,93.9313,48.536,67.9749,71.9592,90.1639,63.0851,44.1361,58.9733,63.4396,73.2723,118.1318
1858,72.3806,79.5143,56.6978,56.9786,87.7623,67.0526,73.0737,82.6714,52.8593,57.2461,75.9818,88.4272,75.1246,96.3316,73.64,75.1839,89.9994,84.7854,85.136,84.9311
1859,103.1949,102.2213,51.9239,55.9059,69.2855,39.7823,76.7281,79.2777,72.6832,67.0408,76.602,76.7167,53.7858,74.6221,95.8553,70.1416,100.3573,103.5453,78.4207,87.3477
1860,86.7235,89.7917,113.2495,94.6372,82.0407,79.6859,59.2762,98.908,85.1182,110.3994,101.773,82.8526,95.289,84.0528,98.4615,88.2528,122.7893,62.9293,85.8295,59.751
1861,95.3002,101.8452,103.7589,101.1947,100.6628,128.4142,118.5521,101.5886,59.8853,104.6667,118.9279,91.4366,88.8433,70.9305,128.0157,64.835,92.8541,82.4579,105.3692,102.4084
1862,112.5707,84.0712,91.6764,110.8478,87.7239,128.1279,75.4115,74.6019,103.4346,108.7365,128.9451,97.7326,90.0648,81.9013,60.5104,114.9443,75.1315,72.376,98.9508,105.269
1863,133.7897,87.4351,132.2109,100.6915,95.8585,84.2229,87.0731,60.9942,91.7505,75.3122,128.8858,123.7308,118.4996,94.1536,89.6027,114.2812,94.1796,75.7762,113.3761,124.5167
1864,104.6366,95.7757,123.8354,102.573,90.8961,122.3259,93.102,91.3428,87.5005,106.2541,145.3211,92.3482,141.5129,125.7651,92.8787,124.9278,132.9271,65.9884,127.3184,169.3055
1865,97.3177,114.9782,119.9186,72.0636,105.7514,113.9034,78.5445,103.5216,106.5242,138.6424,103.9071,97.718,111.1581,128.0559,132.0675,113.9104,136.8497,111.7902,114.729,108.7798
1866,98.3838,134.9012,126.2219,97.8296,144.1294,123.4222,123.3324,105.9812,75.0297,108.4977,162.7273,136.1848,113.7287,97.7654,97.6157,129.0508,156.1406,137.9435,135.3411,137.7778
1867,115.0532,141.5691,155.44,140.5182,104.552,81.65,151.2389,102.0743,111.6696,137.8261,148.7326,118.4375,87.9144,147.3597,176.1476,120.8438,104.5228,191.2459,108.6965,92.6954
1868,170.8334,112.3435,198.7239,81.9395,131.5801,142.1025,79.8454,91.1588,140.9651,151.9936,131.6691,146.5159,145.6707,142.9763,126.1592,201.2925,150.6464,126.401,88.8045,147.1596
1869,144.4705,161.041,133.9066,153.4051,127.72,124.7421,153.2701,173.1434,123.238,161.0103,144.5633,163.3883,115.2439,135.3262,149.3683,124.1293,137.1437,67.099,140.8082,149.7636
1870,126.5383,156.7204,144.2061,172.564,146.1792,130.1926,114.4688,164.0091,94.4445,107.6188,171.6689,107.6773,149.4592,158.0983,204.1157,185.0919,159.0034,141.1399,149.3775,128.7292
1871,179.1123,168.329,158.8627,125.2727,118.6395,232.4057,117.0868,208.9692,154.2699,134.2205,223.5362,177.8814,178.991,197.5061,146.6305,118.1183,189.4307,165.4885,146.7753,160.3156
1872,153.159,188.0548,95.8859,144.7822,211.5774,194.6309,137.932,218.2579,192.0122,222.0652,133.9937,246.7279,145.8257,213.1125,89.7389,128.5289,232.4056,156.0372,244.9277,178.65
1873,183.3982,168.6069,234.5777,223.7449,211.9765,183.6729,124.1393,222.4358,157.0711,137.3531,199.9253,154.4685,213.3634,253.0727,179.8058,139.1898,152.0363,207.9656,208.0843,152.0499
1874,134.4812,140.0036,177.6899,157.9551,174.8154,159.1465,210.2158,177.6307,166.2619,216.8579,164.1618,197.1829,154.3144,170.7499,197.371,208.7127,209.8265,152.509,175.9563,163.1249
1875,221.3289,174.6369,90.3872,173.2255,171.8835,169.9202,174.0988,223.9525,201.2726,162.0405,272.1584,60.4589,183.7945,237.0358,186.8538,142.0851,218.4595,134.4777,251.5282,242.3839
1876,162.1895,196.0389,165.3949,183.5505,213.1328,201.6524,207.7473,182.8921,188.0723,236.1012,169.6224,215.02,219.1023,180.5567,215.1742,202.4173,240.9594,192.6678,190.363,193.4996
1877,218.2487,213.4502,181.3205,185.9268,223.6831,187.7857,232.1157,191.6359,239.0773,201.8148,212.0017,175.9385,111.793,218.1932,200.8093,215.6822,237.0016,167.2306,115.5158,199.259
1878,236.5545,231.1793,288.7511,190.7777,200.922,187.5317,158.1767,164.8982,179.7808,154.8532,205.3829,202.401,251.963,207.0848,195.595,192.6796,231.7007,233.5847,197.2508,201.6657
1879,243.0815,230.2715,234.872,256.5909,160.5739,253.5279,224.0571,189.4681,189.5404,206.9604,297.5706,272.5804,212.2381,198.0564,187.4314,150.1511,257.7739,263.903,229.3519,243.0018
1880,278.5418,202.0101,201.4958,241.6985,262.112,252.1251,239.878,239.4534,271.8153,281.1417,243.5959,297.2534,263.7434,266.9395,177.7057,139.6603,239.7268,242.7658,205.7993,250.3618
1881,241.473,189.8809,278.6936,326.231,241.3355,264.3132,300.3094,251.0636,189.9018,233.1574,277.8056,298.6679,231.9521,252.2046,273.8516,198.6797,242.6401,210.5407,206.4104,248.6413
1882,238.7936,199.9637,143.0462,288.4119,280.0051,322.8839,264.856,217.4423,339.3438,219.5352,366.1925,434.2434,349.8267,206.3269,253.7511,258.5204,304.0454,176.7202,353.2825,361.124
1883,200.1747,324.5573,283.1646,398.1166,246.5395,317.4463,265.7596,194.3534,325.7697,267.3954,221.6299,263.0744,293.1171,221.3578,234.4179,255.9555,320.2005,171.3175,249.2558,257.3367
1884,314.7703,161.8516,300.7214,295.1593,261.6065,341.3923,193.7628,289.3716,284.4825,219.0618,307.8673,231.9045,365.4407,269.9808,284.2451,268.0298,316.4134,225.7708,331.8544,278.6711
1885,208.0237,299.7891,323.2163,257.6799,320.3209,335.6451,327.0337,277.7081,302.4513,308.6751,289.6986,259.0731,238.4083,300.9319,191.363,266.5375,195.7231,287.3605,183.1599,119.2198
1886,330.1007,327.0712,292.1793,257.0648,287.8582,332.1421,324.6638,210.1893,225.9571,305.5658,211.0741,277.6647,259.245,323.4766,338.2797,301.5402,377.7592,255.6844,334.0744,318.5347
